Name,Email,Age,Gender,Location,Item purchased,Purchased date,Category,Quantity,Price,Last purchase,Frequency of purchase,Preferred Brands,Discount sensitivity,Browsing history,Ratings
Abigail James,leslie26@example.org,49,Other,Lake Jenna,Washer,15-02-2024,Appliances,2,277.88,28-12-2023,10,Samsung,Low,['Appliances'],4
Mackenzie Miller,shawn86@example.com,49,Other,North Karenhaven,Table,17-01-2024,Furniture,4,118.96,20-03-2023,1,Better Homes & Gardens,Low,"['Beauty', 'Toys', 'Home Improvement']",3
Richard Lewis,watsontricia@example.org,40,Female,Kaylaville,Jeans,02-02-2024,Clothing,1,454.07,16-12-2023,12,Dickies,Medium,"['Groceries', 'Health & Wellness']",5
Shannon Kim,jamesgail@example.net,42,Other,Alexandermouth,Doll,01-07-2024,Toys,3,133.62,28-10-2023,16,American Girl,Low,"['Appliances', 'Beauty']",4
Barbara Mitchell,timothy66@example.org,51,Other,Wallville,Table,04-03-2024,Furniture,1,338.11,15-01-2024,17,Better Homes & Gardens,High,"['Beauty', 'Health & Wellness', 'Beauty']",4
Courtney Zimmerman,cdaniels@example.com,41,Female,Drewland,Lawn Mower,07-02-2024,Home Improvement,4,255.83,19-08-2023,11,John Deere,Low,"['Beauty', 'Electronics', 'Clothing', 'Clothing']",1
Jill Weber,brenda43@example.org,69,Male,Davidchester,Supplements,13-03-2024,Health & Wellness,1,186.36,07-09-2023,15,Garden of Life,Low,"['Beauty', 'Furniture', 'Home Improvement', 'Groceries']",4
Kevin Oliver,palmerjacob@example.net,63,Female,Port Bonniefort,Supplements,02-02-2024,Health & Wellness,3,238.23,25-02-2023,3,Garden of Life,High,"['Clothing', 'Toys', 'Groceries', 'Clothing']",2
Ronald Macdonald,christineeaton@example.com,20,Female,Billyville,Kayak,20-02-2024,Sports & Outdoors,5,89.96,13-03-2023,15,Intex,High,"['Furniture', 'Appliances']",1
Daniel Murray,jacksonsavannah@example.net,40,Male,Smithberg,Tool Set,31-03-2024,Home Improvement,3,180.2,20-03-2024,7,Husky,High,"['Beauty', 'Toys', 'Toys', 'Appliances', 'Appliances']",2
Amanda Bowman,fcampbell@example.net,49,Other,North Christopher,Pain Relief,18-04-2024,Health & Wellness,5,424.94,19-12-2023,19,Tylenol,High,"['Beauty', 'Groceries']",2
Connie Pollard,amanda72@example.com,54,Other,Clarkemouth,Shoes,15-02-2024,Clothing,1,395.36,14-03-2023,16,Adidas,Low,"['Furniture', 'Beauty']",3
Lori Harvey,marcus60@example.net,51,Male,South Michelle,Dryer,29-02-2024,Appliances,5,20.41,18-04-2023,7,GE,High,"['Clothing', 'Clothing']",3
Lindsey Johnson,timothyjones@example.org,36,Other,Michaelchester,Eggs,01-02-2024,Groceries,3,337.77,26-04-2023,9,Great Value,Medium,['Furniture'],4
Nancy Rivera,patrickjimenez@example.net,49,Male,Port Lori,Eggs,27-05-2024,Groceries,2,123.34,10-01-2024,8,Vital Farms,Medium,"['Appliances', 'Toys']",4
Michael Rogers,danielperez@example.net,31,Male,North Christy,First Aid,03-05-2024,Health & Wellness,5,371.99,02-04-2024,9,Neosporin,High,['Toys'],4
John Armstrong,smithjennifer@example.org,70,Male,Kennethfort,Washer,22-03-2024,Appliances,5,413.73,17-12-2023,11,Whirlpool,Low,['Home Improvement'],1
Nicholas Robbins,cjefferson@example.net,19,Other,Christopherberg,Butter,18-05-2024,Groceries,4,148.26,17-01-2024,3,Great Value,Medium,"['Toys', 'Sports & Outdoors', 'Electronics', 'Furniture']",3
Isaac Brown,todd99@example.com,36,Other,Johnsonfurt,Jeans,27-06-2024,Clothing,2,57.04,06-11-2023,6,Dickies,Medium,"['Electronics', 'Clothing', 'Toys', 'Beauty', 'Beauty']",3
Kelly Cole,martintiffany@example.com,49,Other,Johnnychester,Chair,10-01-2024,Furniture,5,188.16,26-12-2023,13,Serta,Low,"['Home Improvement', 'Health & Wellness', 'Appliances', 'Health & Wellness', 'Furniture']",4
Brianna Brown,priscillaellis@example.net,22,Male,Ortegaville,Washer,06-05-2024,Appliances,1,336.94,16-03-2024,9,LG,High,['Furniture'],1
Tracie Blair,ferrellkathleen@example.com,57,Male,West Amberton,Car,02-08-2024,Toys,5,6.14,16-03-2024,9,Disney,Medium,"['Toys', 'Electronics', 'Electronics', 'Furniture', 'Sports & Outdoors']",2
Andrea Miranda,freemanandrea@example.org,51,Other,West Kimton,Drill,21-05-2024,Home Improvement,4,136.38,05-10-2023,19,Black+Decker,Low,"['Home Improvement', 'Home Improvement', 'Electronics', 'Sports & Outdoors']",4
Michael Jenkins,meganoneill@example.net,41,Other,South Olivia,Bread,01-08-2024,Groceries,3,143.13,30-03-2024,8,Sara Lee,High,"['Groceries', 'Appliances']",2
Wendy Vang,thomasdavis@example.com,69,Other,Kellyton,Hair Care,28-05-2024,Beauty,2,322.07,14-07-2023,1,Herbal Essences,Low,"['Toys', 'Sports & Outdoors', 'Beauty', 'Furniture', 'Clothing']",4
Hannah Robertson,rrose@example.net,40,Female,Andrewschester,Makeup,07-02-2024,Beauty,1,19.59,03-12-2023,18,CoverGirl,High,"['Health & Wellness', 'Home Improvement', 'Health & Wellness', 'Furniture']",3
Kyle Shepard,joshua11@example.net,24,Other,South Jeromeberg,Car,08-06-2024,Toys,5,442.4,09-12-2023,13,Matchbox,Medium,"['Beauty', 'Clothing', 'Home Improvement', 'Home Improvement', 'Health & Wellness']",3
Daniel Martin,robertmarsh@example.com,64,Other,Holmesborough,Washer,07-05-2024,Appliances,2,78.11,05-01-2024,14,Samsung,Low,"['Furniture', 'Beauty', 'Electronics', 'Sports & Outdoors']",2
Christopher Stanley,davisbridget@example.net,61,Other,Wilsonport,Drill,12-01-2024,Home Improvement,5,299.39,11-09-2023,1,Black+Decker,Low,"['Furniture', 'Furniture', 'Clothing']",5
Alison Freeman,lincody@example.net,26,Other,Delgadofort,Smartphone,08-06-2024,Electronics,1,15.5,18-09-2023,14,OnePlus,Low,['Electronics'],1
Michelle Stewart,newmansamantha@example.net,62,Male,New James,TV,31-07-2024,Electronics,5,303.32,29-07-2024,7,Sony,High,"['Sports & Outdoors', 'Electronics', 'Health & Wellness', 'Electronics', 'Sports & Outdoors']",3
Charles Downs,lopezsabrina@example.net,30,Female,Kelleyburgh,Eggs,14-02-2024,Groceries,4,77.56,28-11-2023,7,Vital Farms,Medium,['Home Improvement'],2
Joyce Rollins,beckerjill@example.net,42,Male,Port Meghan,Skincare,21-01-2024,Beauty,3,59.41,22-06-2023,3,Olay,High,"['Furniture', 'Toys', 'Electronics', 'Home Improvement', 'Home Improvement']",4
Michael Adams,arthur29@example.net,62,Male,Dorseychester,Dryer,04-07-2024,Appliances,5,92.96,21-07-2023,3,LG,High,['Clothing'],3
Garrett Dudley,andreagriffith@example.net,33,Male,Danamouth,Skincare,24-04-2024,Beauty,5,210.91,27-03-2024,14,Neutrogena,Medium,"['Health & Wellness', 'Health & Wellness', 'Sports & Outdoors', 'Clothing', 'Electronics']",4
Edward Miranda,zcarroll@example.org,27,Female,East Crystalside,Fragrances,10-01-2024,Beauty,5,269.08,12-08-2023,17,Chanel,High,"['Appliances', 'Health & Wellness', 'Sports & Outdoors', 'Appliances']",4
Laura Hurst,regina12@example.org,58,Female,Jeromestad,Car,04-04-2024,Toys,4,140.26,21-11-2023,14,Disney,Medium,"['Toys', 'Electronics', 'Toys']",5
Margaret Griffin,hernandezscott@example.net,51,Other,Dakotamouth,Bike,12-02-2024,Sports & Outdoors,1,485.48,30-01-2024,1,Huffy,High,"['Toys', 'Home Improvement']",2
Crystal Griffith,bradley73@example.net,49,Other,Hillshire,Fragrances,08-07-2024,Beauty,2,205.2,26-02-2024,15,Versace,Low,"['Beauty', 'Electronics', 'Toys']",3
Derek Werner,laurie07@example.org,46,Female,Michaeltown,Laptop,30-06-2024,Electronics,3,57.6,01-05-2024,16,Dell,High,"['Beauty', 'Furniture', 'Appliances', 'Appliances']",4
Eric Jones,shanenelson@example.org,31,Female,West Beverlyhaven,Bread,14-06-2024,Groceries,2,498.42,29-05-2024,3,Wonder,High,"['Clothing', 'Beauty', 'Health & Wellness']",2
Janice Bailey,marierodriguez@example.com,60,Female,Lake Erin,Dryer,12-07-2024,Appliances,2,392.79,08-09-2023,9,Whirlpool,Low,"['Health & Wellness', 'Clothing', 'Appliances', 'Sports & Outdoors']",4
Melinda Byrd,jennifer25@example.com,18,Male,Lake Scott,Fragrances,13-03-2024,Beauty,2,431.28,01-08-2023,20,Calvin Klein,Low,"['Sports & Outdoors', 'Health & Wellness', 'Furniture', 'Health & Wellness', 'Electronics']",2
Michael Wilkinson,brownvalerie@example.org,35,Other,East Wesley,Milk,28-05-2024,Groceries,1,76.62,08-06-2023,2,Great Value,High,"['Health & Wellness', 'Furniture', 'Clothing', 'Furniture']",2
Keith Brady,terrymaria@example.org,23,Other,Andreamouth,Drill,21-06-2024,Home Improvement,3,249.13,02-01-2024,10,Bosch,High,"['Sports & Outdoors', 'Toys', 'Sports & Outdoors', 'Toys', 'Sports & Outdoors']",3
Gary Robinson,tammyvazquez@example.net,29,Other,New Craigport,Washer,25-05-2024,Appliances,5,109.64,07-04-2024,5,Whirlpool,High,"['Groceries', 'Health & Wellness', 'Groceries']",3
Ana Scott,michaelmarshall@example.org,59,Male,East Jeffrey,Car,13-05-2024,Toys,2,301.6,17-07-2023,11,Hot Wheels,High,['Appliances'],4
Abigail Turner,cassandra59@example.org,64,Female,Erikaside,Bed,07-06-2024,Furniture,3,202.36,04-11-2023,20,DHP,Medium,"['Furniture', 'Electronics', 'Groceries', 'Sports & Outdoors', 'Home Improvement']",3
Miguel Wyatt,amymay@example.com,37,Female,South Erik,Jacket,11-03-2024,Clothing,1,40.34,09-09-2023,14,North Face,High,"['Electronics', 'Furniture']",1
Mr. Brandon Bailey,rhodesmary@example.net,53,Female,Allisonburgh,Tent,24-01-2024,Sports & Outdoors,3,465.83,20-02-2023,12,Ozark Trail,Medium,['Appliances'],2
Jamie Wheeler,ruizhannah@example.net,59,Male,Kellieton,Fragrances,01-02-2024,Beauty,3,415.8,14-11-2023,16,Dolce & Gabbana,High,"['Beauty', 'Toys', 'Furniture', 'Groceries', 'Home Improvement']",3
Philip Perez,watersdavid@example.com,34,Male,Ashleyland,First Aid,10-01-2024,Health & Wellness,3,468.45,30-01-2023,5,Neosporin,High,"['Groceries', 'Clothing']",3
David West,brian58@example.net,51,Male,West Michelle,Shirt,08-05-2024,Clothing,4,147.11,21-03-2024,17,Levi's,Low,"['Toys', 'Groceries']",4
Caitlin Johnson,adkinsdonald@example.com,31,Other,Jonesville,Drill,29-06-2024,Home Improvement,2,323.97,20-10-2023,17,DeWalt,Low,"['Home Improvement', 'Sports & Outdoors', 'Appliances', 'Groceries', 'Clothing']",2
Amy Estrada,mraymond@example.net,20,Other,Laurafurt,Car,08-04-2024,Toys,2,132.74,31-05-2023,3,Hot Wheels,High,['Toys'],5
Cathy Wood,michaelbass@example.org,49,Male,Maddoxfort,Doll,01-03-2024,Toys,1,401.16,26-10-2023,20,Disney,Low,"['Furniture', 'Appliances', 'Furniture', 'Groceries', 'Furniture']",2
Dale Kelly,williamvelazquez@example.net,20,Male,Floresberg,Paint,17-06-2024,Home Improvement,2,229.65,10-12-2023,5,Sherwin-Williams,Low,"['Health & Wellness', 'Home Improvement', 'Furniture']",4
Sandra Harper,qrobinson@example.org,32,Male,West Lindaside,Supplements,01-08-2024,Health & Wellness,3,476.3,17-11-2023,12,NOW Foods,High,"['Sports & Outdoors', 'Health & Wellness', 'Electronics', 'Clothing', 'Furniture']",3
Alyssa Ward,cmcclure@example.net,47,Male,Stephenside,Tent,19-01-2024,Sports & Outdoors,2,59.43,21-04-2023,15,Coleman,Low,"['Sports & Outdoors', 'Home Improvement']",3
Dustin Nguyen,andrewkim@example.org,67,Male,Jonathantown,Bed,18-03-2024,Furniture,3,104.89,17-01-2024,20,Better Homes & Gardens,High,"['Groceries', 'Electronics']",1
Dr. Jennifer King MD,michael31@example.org,63,Female,Gonzalezton,Vitamins,15-04-2024,Health & Wellness,1,370.99,02-10-2023,15,Nature Made,High,['Beauty'],3
Courtney Galvan,tuckerlaura@example.com,43,Other,Lake Johnview,Milk,09-02-2024,Groceries,2,66.84,07-07-2023,20,Great Value,Low,"['Home Improvement', 'Groceries', 'Health & Wellness', 'Toys', 'Toys']",1
William Smith,robertsbradley@example.org,60,Female,South Brian,Microwave,19-02-2024,Appliances,1,75.31,21-08-2023,10,Panasonic,Low,['Appliances'],2
Kenneth Brown,craigchristina@example.com,46,Male,Woodsborough,Smartphone,17-03-2024,Electronics,1,376.72,21-09-2023,3,Google,Low,"['Health & Wellness', 'Groceries', 'Furniture']",3
Zachary Mccoy,david67@example.com,33,Male,Jeremyville,Lawn Mower,06-08-2024,Home Improvement,3,124.89,10-06-2024,7,John Deere,High,"['Groceries', 'Clothing', 'Beauty', 'Groceries', 'Beauty']",2
Andrea Scott,fosterjames@example.org,58,Other,North Jason,Supplements,13-05-2024,Health & Wellness,5,423.9,05-11-2023,12,NOW Foods,Low,['Electronics'],2
Stanley Eaton,wendy24@example.net,52,Other,Andersonshire,Shirt,09-06-2024,Clothing,2,173.94,05-08-2023,12,Hanes,Medium,['Furniture'],5
Jeffrey Myers,sandersmatthew@example.com,49,Male,North Sharon,Washer,02-04-2024,Appliances,3,184.56,28-10-2023,6,LG,Low,"['Electronics', 'Electronics', 'Beauty', 'Groceries', 'Appliances']",5
Adam Lawrence,curtis24@example.net,22,Female,Port Holly,TV,15-03-2024,Electronics,4,338.51,06-08-2023,2,Sony,Low,"['Clothing', 'Furniture', 'Home Improvement']",4
Amy Taylor,david10@example.net,27,Female,Ericfurt,Washer,24-05-2024,Appliances,4,496.34,06-11-2023,3,LG,Medium,['Clothing'],3
Brandon Spencer,moorecolleen@example.org,59,Male,Port Henry,Makeup,25-01-2024,Beauty,1,452.84,27-08-2023,18,Revlon,Medium,"['Health & Wellness', 'Appliances']",5
James Rivas,robinglass@example.org,34,Other,Kelseyfort,Kayak,15-07-2024,Sports & Outdoors,1,441.38,03-02-2024,14,Old Town,Low,"['Furniture', 'Electronics', 'Home Improvement', 'Appliances', 'Clothing']",2
Cindy Johnson,richardmontoya@example.net,36,Male,Jenniferfurt,Makeup,24-03-2024,Beauty,1,461.23,21-09-2023,15,L'Oreal,High,['Furniture'],3
Brianna Byrd,kelsey56@example.net,26,Male,Collinsstad,Milk,18-06-2024,Groceries,5,314.92,03-01-2024,2,Great Value,Medium,['Sports & Outdoors'],4
Gregory Gallagher,timothy49@example.org,60,Male,South Williambury,Chair,28-03-2024,Furniture,3,437.33,19-06-2023,5,Better Homes & Gardens,Low,"['Home Improvement', 'Clothing', 'Home Improvement', 'Furniture']",5
Lauren Vargas,sara26@example.com,24,Other,Hooverfurt,Hair Care,05-08-2024,Beauty,4,324.98,05-10-2023,12,Garnier,Medium,"['Toys', 'Toys']",2
Timothy Johnson,christopher85@example.com,33,Female,West Amber,Makeup,01-07-2024,Beauty,3,401.25,18-12-2023,3,L'Oreal,High,"['Toys', 'Appliances']",2
Keith Nelson,vreyes@example.net,25,Female,East Theresaberg,Chair,15-03-2024,Furniture,4,402.14,18-02-2024,7,DHP,High,['Sports & Outdoors'],3
Mr. William Arnold MD,wesleyrodriguez@example.net,60,Female,Rosarioshire,Tent,29-01-2024,Sports & Outdoors,5,255.51,23-02-2023,8,Wenzel,High,"['Furniture', 'Home Improvement', 'Health & Wellness']",2
Christine Hendrix,kimberlysims@example.com,49,Male,East Lesliemouth,Headphones,21-03-2024,Electronics,2,281.77,22-09-2023,2,JBL,High,"['Sports & Outdoors', 'Health & Wellness', 'Furniture']",3
Kimberly Watkins,andrew94@example.net,44,Female,North Betty,Doll,23-06-2024,Toys,1,259.89,05-03-2024,5,American Girl,Medium,"['Toys', 'Furniture', 'Toys', 'Furniture']",4
Christine Munoz,gordonlee@example.net,49,Female,East Frank,Bread,17-07-2024,Groceries,5,291.49,21-07-2023,17,Sara Lee,Low,['Groceries'],5
Nicholas Jacobs,timothydickson@example.org,37,Male,Ruizville,Makeup,15-05-2024,Beauty,1,15.31,27-03-2024,3,L'Oreal,Medium,"['Home Improvement', 'Groceries', 'Clothing', 'Health & Wellness']",2
Martha Taylor,ericksonstephen@example.com,33,Female,Port Brian,Bike,16-06-2024,Sports & Outdoors,1,363.9,12-09-2023,16,Trek,High,['Groceries'],2
Gregory Stevenson,justinvargas@example.net,27,Other,New Dawnside,Washer,02-06-2024,Appliances,1,343.69,22-11-2023,14,GE,Low,"['Health & Wellness', 'Clothing', 'Electronics']",3
Michelle Mann,ahenderson@example.com,64,Female,Gallegosview,Butter,31-01-2024,Groceries,1,492.85,06-08-2023,2,Great Value,Low,"['Groceries', 'Electronics', 'Furniture', 'Toys', 'Appliances']",1
Kayla Hicks,kelseyhamilton@example.com,65,Female,Port Cameronport,TV,07-04-2024,Electronics,4,466.66,27-09-2023,9,Sony,Medium,"['Sports & Outdoors', 'Appliances', 'Toys', 'Beauty', 'Toys']",2
Jacqueline Davis,heidi02@example.net,60,Other,New Barbara,Drill,05-03-2024,Home Improvement,4,391.49,09-07-2023,3,Bosch,Low,"['Groceries', 'Furniture', 'Electronics']",1
Don Garcia,michael46@example.com,57,Female,Bruceside,Washer,18-05-2024,Appliances,3,295.03,15-07-2023,17,Samsung,Medium,"['Beauty', 'Appliances', 'Electronics', 'Health & Wellness']",4
Kathy Molina,christina77@example.com,36,Male,Bryanfort,Lego,29-06-2024,Toys,3,153.61,31-10-2023,11,Lego,High,"['Appliances', 'Clothing', 'Toys', 'Furniture', 'Groceries']",5
Michael Mann,davidpetty@example.net,66,Other,Lake Rebecca,Sofa,06-05-2024,Furniture,4,84.99,16-06-2023,6,Serta,Low,"['Health & Wellness', 'Furniture', 'Home Improvement', 'Health & Wellness', 'Home Improvement']",4
George Herrera,luke98@example.net,57,Male,Stewartview,Sofa,22-05-2024,Furniture,1,55.1,09-04-2024,1,Better Homes & Gardens,High,"['Appliances', 'Sports & Outdoors']",3
Ethan Lopez,iherring@example.org,29,Other,Port Kristin,Dryer,29-04-2024,Appliances,4,425.73,18-02-2024,4,Samsung,High,"['Toys', 'Furniture', 'Appliances']",3
James Leonard,hperez@example.org,60,Other,West Cynthia,Eggs,18-03-2024,Groceries,2,300.31,11-06-2023,8,Great Value,Medium,"['Appliances', 'Furniture']",3
Christopher Woods,joshuatate@example.com,55,Female,Lake Thomas,Drill,15-03-2024,Home Improvement,5,404.54,19-08-2023,12,DeWalt,Low,"['Furniture', 'Health & Wellness', 'Electronics', 'Health & Wellness', 'Toys']",3
Luis Lynn,whitehannah@example.org,42,Female,North Michelleview,Microwave,04-06-2024,Appliances,2,408.43,27-03-2024,5,Samsung,Low,"['Electronics', 'Health & Wellness']",3
Jerome Ellis,redwards@example.com,46,Male,Jacquelinestad,Car,28-05-2024,Toys,2,426.19,29-11-2023,18,Hot Wheels,Medium,['Appliances'],5
Jade Smith,michael11@example.net,45,Other,North Peter,Eggs,06-08-2024,Groceries,3,464.54,01-08-2024,13,Vital Farms,Low,['Furniture'],2
Calvin Bowers,matthewjohnson@example.net,57,Male,Bakerhaven,Tool Set,18-03-2024,Home Improvement,5,478.42,08-05-2023,10,Husky,Low,"['Health & Wellness', 'Home Improvement', 'Home Improvement']",3
Brett Ray,leonardamy@example.com,69,Other,Nealburgh,Paint,15-04-2024,Home Improvement,4,106.46,14-11-2023,4,Rust-Oleum,High,"['Beauty', 'Toys', 'Clothing', 'Groceries']",5
Kenneth Wilcox,vschmidt@example.org,59,Male,New Madisonberg,Laptop,14-04-2024,Electronics,5,19.46,20-07-2023,1,HP,Low,['Groceries'],5
Juan Thomas,jason00@example.net,49,Other,West Todd,Doll,28-04-2024,Toys,1,58.98,25-12-2023,7,Disney,Medium,"['Clothing', 'Health & Wellness']",4
Martin Carlson,tina59@example.net,49,Male,South Heidiville,Smartphone,07-07-2024,Electronics,5,190.94,30-09-2023,1,OnePlus,High,"['Electronics', 'Health & Wellness', 'Home Improvement', 'Groceries']",4
Caleb Lopez MD,qlewis@example.com,49,Female,Nicholasstad,Headphones,22-05-2024,Electronics,3,101.85,05-09-2023,16,Sony,High,"['Home Improvement', 'Appliances']",1
Nicole Martinez,colehannah@example.com,64,Male,Denisestad,Drill,04-02-2024,Home Improvement,5,200.79,18-10-2023,2,Makita,Low,['Home Improvement'],1
Ana Hall,ronaldbowman@example.org,40,Other,West Patrickbury,Refrigerator,01-05-2024,Appliances,4,98.86,27-05-2023,6,Samsung,Low,"['Health & Wellness', 'Sports & Outdoors', 'Clothing', 'Toys', 'Home Improvement']",5
Dr. Denise Cruz,uramirez@example.com,54,Female,Port Laurieberg,Fishing Rod,14-04-2024,Sports & Outdoors,1,57.43,27-05-2023,19,Ugly Stik,High,"['Sports & Outdoors', 'Furniture', 'Health & Wellness', 'Clothing']",1
Christopher Rollins,cheryl93@example.com,24,Male,Lake Melissa,Dryer,16-02-2024,Appliances,3,244.14,04-01-2024,7,Whirlpool,High,"['Furniture', 'Beauty', 'Groceries', 'Appliances', 'Sports & Outdoors']",4
Megan Davis,mcleanadam@example.net,19,Other,Lake Richardmouth,Milk,15-03-2024,Groceries,5,192.99,10-10-2023,16,Great Value,Medium,"['Sports & Outdoors', 'Health & Wellness', 'Home Improvement', 'Toys']",2
Amanda Cisneros,gabrielsmith@example.com,55,Male,Port Michaela,Vitamins,05-01-2024,Health & Wellness,3,193.27,17-06-2023,7,Nature Made,Medium,"['Furniture', 'Electronics', 'Home Improvement', 'Furniture', 'Sports & Outdoors']",4
Brian Martin,adamschristopher@example.org,47,Female,Michelebury,Microwave,01-06-2024,Appliances,4,60.11,04-05-2024,9,Panasonic,Medium,"['Electronics', 'Furniture', 'Appliances', 'Clothing', 'Furniture']",1
Kathleen Davis,padams@example.org,33,Female,West Jesus,Vitamins,29-01-2024,Health & Wellness,1,23.3,01-09-2023,17,Nature Made,Low,"['Health & Wellness', 'Groceries', 'Clothing', 'Toys', 'Appliances']",1
Megan Hernandez,garrisonmatthew@example.net,24,Other,Lisaside,Fragrances,16-05-2024,Beauty,1,480.94,12-02-2024,2,Versace,High,"['Health & Wellness', 'Clothing']",4
Christina Torres,briancarter@example.org,56,Other,East Timothyfurt,Table,17-02-2024,Furniture,5,17.35,21-05-2023,16,DHP,High,"['Beauty', 'Sports & Outdoors', 'Electronics', 'Sports & Outdoors']",2
Micheal Jenkins,andrew11@example.net,52,Female,Fieldsside,Shirt,10-06-2024,Clothing,1,462.32,20-11-2023,12,Wrangler,Low,"['Health & Wellness', 'Health & Wellness', 'Electronics']",1
James Martin,handerson@example.com,49,Other,Port Brandonfurt,Bike,16-02-2024,Sports & Outdoors,2,21.68,21-11-2023,17,Mongoose,Medium,"['Furniture', 'Electronics', 'Health & Wellness']",3
Diana James,traciwilson@example.org,41,Other,Lake Daltonland,Makeup,10-01-2024,Beauty,1,191.43,14-04-2023,11,CoverGirl,Medium,"['Groceries', 'Toys', 'Toys']",2
Joshua Price,smithchristine@example.org,42,Male,Rollinshaven,Bed,04-08-2024,Furniture,3,456.14,04-06-2024,2,Mainstays,Low,"['Health & Wellness', 'Beauty', 'Groceries', 'Home Improvement']",1
Peter Humphrey,zdavis@example.org,18,Female,South Kayla,Sofa,01-05-2024,Furniture,1,94.98,19-04-2024,11,Mainstays,High,"['Sports & Outdoors', 'Groceries', 'Groceries']",1
Mrs. Evelyn Bowers DVM,jenniferdaniel@example.com,23,Male,South Jerometon,Table,02-06-2024,Furniture,2,333.79,30-01-2024,5,DHP,Low,"['Home Improvement', 'Appliances']",3
Terri Lawson,pwright@example.org,21,Female,New Brittney,Bread,07-02-2024,Groceries,4,127.22,27-11-2023,8,Wonder,High,"['Home Improvement', 'Appliances', 'Sports & Outdoors']",2
Gregory Caldwell,christophermartin@example.net,49,Male,North Johnstad,Hair Care,26-07-2024,Beauty,1,386.97,11-08-2023,8,Herbal Essences,Low,"['Sports & Outdoors', 'Home Improvement', 'Toys', 'Furniture']",1
Rodney Adams,mary41@example.com,54,Other,Kevinshire,Dryer,28-06-2024,Appliances,1,338.16,07-11-2023,3,Samsung,Medium,['Sports & Outdoors'],3
Amy Bowman,thomasbrittany@example.org,22,Other,Williamshaven,Fishing Rod,20-07-2024,Sports & Outdoors,3,167,04-03-2024,19,Shakespeare,Low,"['Groceries', 'Toys', 'Appliances', 'Toys', 'Appliances']",1
Steven Coffey,wmendoza@example.com,49,Female,Michaelchester,Eggs,11-07-2024,Groceries,3,187.45,06-06-2024,15,Vital Farms,Medium,"['Home Improvement', 'Groceries', 'Groceries', 'Appliances', 'Clothing']",2
Theresa Mcmillan,evanking@example.net,69,Male,Brownport,Bread,26-01-2024,Groceries,1,375.97,25-12-2023,10,Sara Lee,Low,['Furniture'],5
Kyle Hobbs,danielrobinson@example.net,35,Other,Samanthaberg,Fishing Rod,06-01-2024,Sports & Outdoors,4,158.48,10-10-2023,9,Ugly Stik,High,"['Electronics', 'Electronics']",2
Paul Armstrong,maria65@example.org,54,Male,New Michaelville,Puzzle,12-06-2024,Toys,3,120.38,04-07-2023,5,Melissa & Doug,Medium,"['Health & Wellness', 'Health & Wellness', 'Toys']",1
Anna Anderson,michael46@example.net,31,Female,South Williamburgh,Tool Set,19-02-2024,Home Improvement,1,308.58,21-05-2023,1,Husky,Low,['Groceries'],2
Jay Brown,sullivanamanda@example.org,31,Other,Bryceshire,Lego,07-04-2024,Toys,3,103.56,19-01-2024,8,Lego,Low,"['Sports & Outdoors', 'Appliances', 'Sports & Outdoors', 'Toys', 'Groceries']",3
Shannon Hall,john02@example.net,51,Other,Leeton,Smartphone,07-06-2024,Electronics,5,456.89,29-01-2024,15,Google,High,"['Groceries', 'Beauty', 'Beauty']",1
Megan Hodge,simpsonthomas@example.org,28,Female,New Jacob,Makeup,13-02-2024,Beauty,4,318.56,20-12-2023,5,Maybelline,Medium,"['Appliances', 'Furniture', 'Home Improvement', 'Furniture', 'Health & Wellness']",4
Courtney Vasquez,uwelch@example.com,33,Male,Rogerston,Milk,06-02-2024,Groceries,4,136.98,28-02-2023,18,Great Value,High,"['Health & Wellness', 'Electronics', 'Electronics', 'Home Improvement', 'Furniture']",3
Wendy Obrien DVM,evansamanda@example.org,66,Other,Port Marissamouth,Supplements,10-03-2024,Health & Wellness,2,378.9,06-08-2023,6,Nature Made,Low,"['Health & Wellness', 'Appliances', 'Groceries', 'Clothing']",4
Linda Robertson,bishopchristine@example.org,45,Male,East Chrischester,Table,05-02-2024,Furniture,4,198.27,29-07-2023,7,DHP,Low,"['Electronics', 'Electronics', 'Appliances', 'Electronics', 'Health & Wellness']",4
Roger Gross,donald40@example.net,30,Male,South Patrickview,Eggs,18-01-2024,Groceries,4,452.19,07-10-2023,18,Eggland's Best,Low,"['Groceries', 'Groceries']",1
John Owens,gcamacho@example.net,25,Female,North Coryfort,Sofa,08-04-2024,Furniture,1,229.16,05-05-2023,6,Mainstays,Low,['Toys'],5
William Olsen,akelley@example.org,31,Male,Wilsonville,TV,20-04-2024,Electronics,3,388.93,21-12-2023,4,Vizio,High,['Clothing'],4
William Dixon,eddie01@example.com,39,Female,Port Robin,Butter,15-03-2024,Groceries,5,460.75,24-12-2023,8,Great Value,Low,"['Furniture', 'Health & Wellness', 'Appliances']",2
Courtney Garcia,jbuchanan@example.org,57,Male,North Breannaport,Paint,07-04-2024,Home Improvement,3,53.87,06-05-2023,2,Rust-Oleum,High,"['Health & Wellness', 'Furniture']",2
Eric Schwartz,matthewwhite@example.net,24,Other,New Calebberg,Butter,13-04-2024,Groceries,5,432.54,27-12-2023,7,Great Value,Medium,"['Clothing', 'Home Improvement', 'Home Improvement', 'Home Improvement']",1
